f_displacements__axis_z__sen_9__act_9__sol_1,f_displacements__axis_z__sen_9__act_9__sol_2,f_displacements__axis_z__sen_9__act_9__sol_3,f_displacements__axis_z__sen_9__act_9__sol_4,f_displacements__axis_z__sen_9__act_9__sol_5,f_displacements__axis_z__sen_9__act_9__sol_6,f_displacements__axis_z__sen_9__act_9__sol_7,f_displacements__axis_z__sen_9__act_9__sol_8,f_displacements__axis_z__sen_9__act_9__sol_9,f_displacements__axis_z__sen_9__act_9__sol_10,f_displacements__axis_z__sen_9__act_9__sol_11,f_displacements__axis_z__sen_9__act_9__sol_12,f_displacements__axis_z__sen_9__act_9__sol_13,f_displacements__axis_z__sen_9__act_9__sol_14,f_displacements__axis_z__sen_9__act_9__sol_15,f_displacements__axis_z__sen_9__act_9__sol_16,f_displacements__axis_z__sen_9__act_9__sol_17,f_displacements__axis_z__sen_9__act_9__sol_18,f_displacements__axis_z__sen_9__act_9__sol_19,f_displacements__axis_z__sen_9__act_9__sol_20,f_displacements__axis_z__sen_9__act_9__sol_21,f_displacements__axis_z__sen_9__act_9__sol_22,f_displacements__axis_z__sen_9__act_9__sol_23,f_displacements__axis_z__sen_9__act_9__sol_24,f_displacements__axis_z__sen_9__act_9__sol_25,f_displacements__axis_z__sen_9__act_9__sol_26,f_displacements__axis_z__sen_9__act_9__sol_27,f_displacements__axis_z__sen_9__act_9__sol_28,f_displacements__axis_z__sen_9__act_9__sol_29,f_displacements__axis_z__sen_9__act_9__sol_30,f_displacements__axis_z__sen_9__act_9__sol_31,f_displacements__axis_z__sen_9__act_9__sol_32,f_displacements__axis_z__sen_9__act_9__sol_33,f_displacements__axis_z__sen_9__act_9__sol_34,f_displacements__axis_z__sen_9__act_9__sol_35,f_displacements__axis_z__sen_9__act_9__sol_36,f_displacements__axis_z__sen_9__act_9__sol_37,f_displacements__axis_z__sen_9__act_9__sol_38,f_displacements__axis_z__sen_9__act_9__sol_39,f_displacements__axis_z__sen_9__act_9__sol_40,f_displacements__axis_z__sen_9__act_9__sol_41,f_displacements__axis_z__sen_9__act_9__sol_42,f_displacements__axis_z__sen_9__act_9__sol_43,f_displacements__axis_z__sen_9__act_9__sol_44,f_displacements__axis_z__sen_9__act_9__sol_45,f_displacements__axis_z__sen_9__act_9__sol_46,f_displacements__axis_z__sen_9__act_9__sol_47,f_displacements__axis_z__sen_9__act_9__sol_48,f_displacements__axis_z__sen_9__act_9__sol_49,f_displacements__axis_z__sen_9__act_9__sol_50,f_displacements__axis_z__sen_9__act_9__sol_51,f_displacements__axis_z__sen_9__act_9__sol_52,f_displacements__axis_z__sen_9__act_9__sol_53,f_displacements__axis_z__sen_9__act_9__sol_54,f_displacements__axis_z__sen_9__act_9__sol_55,f_displacements__axis_z__sen_9__act_9__sol_56,f_displacements__axis_z__sen_9__act_9__sol_57,f_displacements__axis_z__sen_9__act_9__sol_58,f_displacements__axis_z__sen_9__act_9__sol_59,f_displacements__axis_z__sen_9__act_9__sol_60,f_displacements__axis_z__sen_9__act_9__sol_61,f_displacements__axis_z__sen_9__act_9__sol_62,f_displacements__axis_z__sen_9__act_9__sol_63,f_displacements__axis_z__sen_9__act_9__sol_64,f_displacements__axis_z__sen_9__act_9__sol_65,f_displacements__axis_z__sen_9__act_9__sol_66,f_displacements__axis_z__sen_9__act_9__sol_67,f_displacements__axis_z__sen_9__act_9__sol_68,f_displacements__axis_z__sen_9__act_9__sol_69,f_displacements__axis_z__sen_9__act_9__sol_70,f_displacements__axis_z__sen_9__act_9__sol_71,f_displacements__axis_z__sen_9__act_9__sol_72,f_displacements__axis_z__sen_9__act_9__sol_73,f_displacements__axis_z__sen_9__act_9__sol_74,f_displacements__axis_z__sen_9__act_9__sol_75,f_displacements__axis_z__sen_9__act_9__sol_76,f_displacements__axis_z__sen_9__act_9__sol_77,f_displacements__axis_z__sen_9__act_9__sol_78,f_displacements__axis_z__sen_9__act_9__sol_79,f_displacements__axis_z__sen_9__act_9__sol_80,f_displacements__axis_z__sen_9__act_9__sol_81,f_displacements__axis_z__sen_9__act_9__sol_82,f_displacements__axis_z__sen_9__act_9__sol_83,f_displacements__axis_z__sen_9__act_9__sol_84,f_displacements__axis_z__sen_9__act_9__sol_85,f_displacements__axis_z__sen_9__act_9__sol_86,f_displacements__axis_z__sen_9__act_9__sol_87,f_displacements__axis_z__sen_9__act_9__sol_88,f_displacements__axis_z__sen_9__act_9__sol_89,f_displacements__axis_z__sen_9__act_9__sol_90,f_displacements__axis_z__sen_9__act_9__sol_91,f_displacements__axis_z__sen_9__act_9__sol_92,f_displacements__axis_z__sen_9__act_9__sol_93,f_displacements__axis_z__sen_9__act_9__sol_94,f_displacements__axis_z__sen_9__act_9__sol_95,f_displacements__axis_z__sen_9__act_9__sol_96,f_displacements__axis_z__sen_9__act_9__sol_97,f_displacements__axis_z__sen_9__act_9__sol_98,f_displacements__axis_z__sen_9__act_9__sol_99,f_displacements__axis_z__sen_9__act_9__sol_100,f_displacements__axis_z__sen_9__act_9__sol_101,f_displacements__axis_z__sen_9__act_9__sol_102,f_displacements__axis_z__sen_9__act_9__sol_103,f_displacements__axis_z__sen_9__act_9__sol_104,f_displacements__axis_z__sen_9__act_9__sol_105,f_displacements__axis_z__sen_9__act_9__sol_106,f_displacements__axis_z__sen_9__act_9__sol_107,f_displacements__axis_z__sen_9__act_9__sol_108,f_displacements__axis_z__sen_9__act_9__sol_109
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
